,Price,Prediction,error_percentage
3500,1300000,1345302.3019270264,3.4847924559251044
2211,1040000,863125.2467190694,-17.007187815474094
2234,720000,584912.8954781579,-18.762097850255845
4138,1798000,1729329.6089647068,-3.8192653523522373
1571,3800000,3408954.8757576738,-10.290661164271743
978,850900,985760.5779103155,15.849168869469441
3921,790000,699497.9675839866,-11.455953470381445
2120,760000,825045.7453849111,8.558650708540931
163,1050000,908162.8635750889,-13.508298707134388
1057,860000,854833.3081915891,-0.6007781172570837
1612,1250000,1376188.889598304,10.095111167864316
1010,660000,662839.7930200894,0.43027166971051356
2265,1152000,1025298.978589579,-10.998352552987935
2174,1650000,2433243.4025883237,47.469297126565074
2513,2650000,2231747.7332629687,-15.783104405170992
3456,518000,532349.4309531432,2.7701604156647037
4743,452500,515173.27865967446,13.85044832257999
2520,796000,736998.1861274944,-7.412288174937885
5238,2107000,1843524.5605522322,-12.504766941042611
901,1418000,1305449.4142923348,-7.937276848213341
2879,425000,492933.65079780255,15.984388423012364
5439,1089000,1056687.4090114275,-2.96718007241253
2626,479000,515770.79326068284,7.676574793461971
1834,667000,648264.0001209503,-2.8089954841154
3353,735500,658445.3764713199,-10.476495381193756
3188,1035000,883188.28456094,-14.667798593145895
2340,595400,636051.7770349166,6.827641423398818
3988,715000,703016.3928070591,-1.6760289780336914
2462,1142500,921728.3469793325,-19.323558251261925
1047,655000,591247.7732822149,-9.733164384394675
2670,1260000,1834214.3776633057,45.572569655817915
183,1238000,1544088.279407794,24.724416753456698
409,841000,776897.3582614433,-7.622192834548951
1930,11000000,4694372.764781787,-57.32388395652921
778,1600000,1358781.4799215307,-15.07615750490433
1693,749000,711051.282010652,-5.066584511261414
2078,910000,982249.8291170548,7.939541661214815
3937,2960000,2918925.130770582,-1.387664500993859
5078,1200000,1570702.2654010542,30.891855450087846
513,1538000,1473434.4406624895,-4.198020763167133
1245,1810000,1284018.1222955796,-29.059772248863002
2562,955000,1459649.4031143975,52.842869436062564
5226,1650000,1637222.9731792856,-0.7743652618614759
730,680000,650529.7164320775,-4.333865230576843
491,2595000,2536349.319946865,-2.2601418132229254
1804,1558000,1279903.815066083,-17.84956257598953
3497,878000,947977.4814867822,7.970100397127814
1069,1748900,1800697.0901145118,2.9616953579113607
115,1488000,1634975.3851308671,9.877378032988382
108,499000,527233.0655571646,5.657928969371665
5110,2248000,3322628.068861503,47.80373971803839
2176,445000,478978.7824974448,7.635681460099948
3137,770000,1000181.337060471,29.8936801377235
1368,665000,596382.4412485819,-10.318429887431298
2754,504900,662079.9221411471,31.130901592621722
2789,1520000,1347776.3857945465,-11.330500934569313
245,3430000,4098075.948501791,19.477432900926846
2125,1501000,1295988.4824023757,-13.658328953872372
2291,835000,1269793.977185655,52.071134992294
2694,797000,806713.4457656525,1.2187510370956662
2095,458000,550896.0472257038,20.28297974360346
2346,688000,690101.412597329,0.30543787751875096
1784,838000,807105.0270714374,-3.6867509461291825
3908,1218952,1407823.4513564801,15.494576599938318
5218,500000,540544.3372934844,8.108867458696873
2382,850800,874557.3051178267,2.792348979528288
252,930000,876466.5641564287,-5.756283424039927
5410,989900,1253129.838862825,26.591558628429635
5288,699800,1012600.5975313167,44.69857066752168
2898,619500,625026.9565742634,0.8921640959262955
2806,12880000,7087494.857832867,-44.97286601061439
3326,1480000,1510921.7364949768,2.0893065199308647
4893,590000,547970.4656061478,-7.123649897263089
1767,675000,725249.3074967045,7.444341851363631
2229,879000,973658.1020422408,10.768839822780523
4483,927500,1007820.5774310079,8.659900531645054
2,1240000,1230765.072438039,-0.7447522227387995
1210,1721908,1061303.9758429585,-38.36465270833526
1394,799900,703451.9053612249,-12.057519019724355
2557,780000,701379.4728228581,-10.07955476630024
4309,1228800,1279932.298708666,4.1611571214734795
673,718000,750738.8127070823,4.559723218256581
1038,825000,764884.4996046548,-7.286727320647897
1328,712000,658994.2726721063,-7.444624624704174
1442,649000,722087.3746761774,11.261536930073559
1361,539000,569087.1843984483,5.582037921790042
537,735000,678178.0257965605,-7.73088084400538
3349,1050000,985685.7320856045,-6.125168372799576
264,799900,830249.7667086065,3.7941951129649336
149,732900,668302.7318249447,-8.813926616872052
4991,1690000,1561130.6721537064,-7.625404014573584
5215,885000,913238.5070395175,3.1907917558776853
4034,661500,646153.4295962644,-2.31996529157001
3282,538000,494472.86237400747,-8.090546027136158
4980,410000,467250.10338183196,13.963439849227308
1250,2950000,3115000.295027318,5.593230339909082
3773,638000,678502.9491402997,6.348424630141018
1148,498000,543166.8309278204,9.069644764622572
4788,606000,587603.1671190722,-3.0357810034534376
1172,1970000,1619691.602421677,-17.782152161336196
5059,513000,560436.1817607865,9.246819056683519
96,990000,1095154.7915018804,10.62169611130105
3745,578000,616430.8241700545,6.64893151731047
371,457000,523776.43214710895,14.611910754290799
3018,727500,721038.2383686473,-0.8882146572306132
63,705000,629497.7007870447,-10.709545987653232
