,Price,Prediction,error_percentage
18652,949999,878913.0,-7.482744718678651
11610,805000,960715.0,19.343478260869563
35194,1698000,1624987.74,-4.299897526501768
53961,425000,437893.0,3.0336470588235294
41546,2838000,2315989.71,-18.393597251585625
15612,474500,488850.0,3.024236037934668
36832,1848000,1910109.56,3.3609069264069293
487,449000,461414.86,2.765002227171489
43815,524900,534500.0,1.8289197942465232
49359,580000,609154.0,5.0265517241379305
23170,1118899,1147895.95,2.5915609898659264
48127,560001,603444.5,7.757754004010707
32483,1508000,1581763.88,4.891503978779833
27213,1300000,1284510.0,-1.1915384615384617
44183,529000,525697.88,-0.6242192816635151
9223,758000,842631.63,11.165122691292877
39155,2200000,4007042.86,82.1383118181818
24354,1180000,1259209.0,6.712627118644068
45770,8152381,6716124.24,-17.617635387747455
51625,612000,591274.3,-3.3865522875816914
44734,3999999,5847562.5,46.18909904727476
25021,1200000,1569370.6,30.780883333333342
31941,1487500,1627946.0,9.441747899159664
40274,2460000,2499950.5,1.6240040650406504
47531,551700,578716.0,4.896864237810404
8860,750000,724769.0,-3.3641333333333336
27894,1340000,1454252.0,8.526268656716418
48183,562000,593325.75,5.573976868327402
42489,3300000,3494371.52,5.890046060606061
52459,625000,591377.22,-5.379644800000005
34837,1670000,1647641.88,-1.33880958083833
39686,2305000,2902227.0,25.910065075921906
37657,1950000,1800640.61,-7.659455897435892
47200,545000,542026.26,-0.5456403669724753
9071,754000,883633.0,17.19270557029178
26360,1270000,1286583.8,1.305811023622051
6818,716250,678697.0,-5.243001745200698
22579,1095000,1771905.0,61.81780821917808
32666,1525000,1321522.6,-13.342780327868848
46031,400000,400000.0,0.0
3929,670000,710735.0,6.079850746268656
42019,3000000,2445463.44,-18.484552
7022,720000,718030.88,-0.2734888888888883
36246,1788000,1562682.25,-12.601663870246085
23560,1140000,1101193.05,-3.4041184210526274
28576,1375000,1373699.89,-0.094553454545462
29700,1438000,1428604.38,-0.6533810848400634
12448,828500,915232.21,10.468582981291485
51060,603000,562090.36,-6.784351575456056
32152,1498000,1610507.98,7.510546061415218
34902,1678000,1707982.16,1.7867794994040473
49908,588500,626240.0,6.412914188615123
15327,898900,897123.0,-0.19768606074090553
4845,685000,713272.0,4.127299270072992
47947,560000,524242.94,-6.385189285714285
2310,646950,647204.0,0.03926114846587835
19139,962500,819884.0,-14.817246753246755
7839,734900,752326.88,2.3713267111171596
4533,680000,705655.77,3.7729073529411794
9159,755000,758064.0,0.4058278145695364
15921,480000,451926.92,-5.848558333333337
31399,1450000,1742661.0,20.18351724137931
41139,2688000,1987301.0,-26.06767113095238
31738,1475000,1384784.44,-6.116309152542377
39464,2280000,2495981.8,9.472885964912273
8150,739900,728532.0,-1.5364238410596027
42753,3500000,2257042.19,-35.51308028571429
35094,1689000,1668592.99,-1.2082303137951456
53930,423000,427188.0,0.9900709219858157
41679,2888000,2862271.15,-0.8908881578947401
36423,1799010,1504875.24,-16.34981239681825
11781,810000,787604.0,-2.7649382716049384
22413,1087900,1081340.0,-0.6029965989521097
34341,1635000,1732466.42,5.961248929663604
15301,898000,804854.71,-10.372526726057911
43842,525000,477739.0,-9.002095238095238
20883,1015760,941135.64,-7.346652752618728
52806,629000,616506.08,-1.9863147853736156
15590,473000,460759.88,-2.5877632135306543
37251,1897000,1416725.05,-25.317604111755397
4922,685000,707494.88,3.2839240875912417
40955,2628000,2556797.0,-2.709398782343988
27726,1330000,1361815.62,2.3921518796992567
27090,1299999,1016631.88,-21.797487536528873
10735,789000,716427.0,-9.19809885931559
52540,625000,639090.0,2.2544
18541,948000,944937.0,-0.3231012658227848
9892,770079,768957.1,-0.14568635166002752
13941,863714,920440.82,6.567778222883957
44654,3980000,4115613.35,3.407370603015078
50454,597500,647105.0,8.302092050209204
48781,570500,560378.5,-1.7741454864154251
46433,535000,580440.0,8.493457943925234
50891,600000,580805.0,-3.1991666666666667
27156,1300000,1233878.57,-5.086263846153841
53091,632900,592582.0,-6.370358666455996
21821,1059000,1066986.0,0.7541076487252125
27929,1343000,1534022.9,14.22359642591213
52967,630000,643124.0,2.0831746031746032
40521,2500000,3110537.72,24.42150880000001
43210,515000,500119.84,-2.8893514563106746
32231,1499800,1419100.0,-5.380717428990532
23112,1111000,1120312.79,0.8382349234923526
43227,515000,504321.65,-2.0734660194174714
40246,2450000,1592190.83,-35.012619183673465
4010,670000,653389.0,-2.4792537313432836
53211,400000,400000.0,0.0
2674,650000,652636.0,0.4055384615384615
24679,1198000,1105336.0,-7.734891485809683
46288,532000,594156.5,11.683552631578948
27450,1315000,1219678.76,-7.248763498098859
29704,1438000,1389602.08,-3.3656411682892857
21658,1050000,1014999.27,-3.3334028571428553
7865,735000,791324.98,7.663262585034011
24865,1200000,1119413.0,-6.715583333333333
37373,1900000,1793100.76,-5.6262757894736835
32034,1490000,1454652.5,-2.372315436241611
3341,660000,721914.88,9.381042424242425
51915,617500,597800.0,-3.1902834008097165
29521,1425000,1650722.0,15.840140350877194
1360,468000,520978.0,11.32008547008547
17853,925900,1793716.41,93.72679663030564
15166,891000,859628.63,-3.5209169472502797
28136,1350000,1241259.88,-8.054823703703711
49106,576000,589121.89,2.2781059027777806
28513,1370000,1333456.08,-2.6674394160583885
1534,635000,607170.0,-4.382677165354331
53891,422000,420598.0,-0.33222748815165876
25382,1225000,1404756.7,14.674016326530609
16412,488000,497842.5,2.016905737704918
13065,841000,773838.64,-7.98589298454221
6405,709900,711677.0,0.2503169460487393
9902,771000,848621.88,10.067688715953308
45542,6050000,6136974.6,1.43759669421487
9981,775000,808564.0,4.33083870967742
9092,755000,757492.55,0.3301390728476883
2560,649900,647583.0,-0.35651638713648254
22366,1084900,1054042.0,-2.8443174486127756
1579,635000,632468.0,-0.39874015748031494
51115,605000,586437.0,-3.068264462809917
49979,589900,486965.0,-17.44956772334294
16601,490000,498860.0,1.8081632653061224
28882,1390000,1409840.0,1.427338129496403
42348,3225000,2573818.88,-20.19166263565892
33817,1599000,1606558.4,0.4726954346466483
14578,879000,887767.64,0.9974562002275329
17570,918000,943492.0,2.776906318082789
10299,780000,722549.0,-7.365512820512821
30659,504200,498779.0,-1.0751685838952796
4897,685000,667670.4,-2.5298686131386825
22025,1068888,1122022.99,4.971053094430847
46570,536000,541493.0,1.024813432835821
43750,523000,519052.0,-0.7548757170172085
54066,426000,429079.56,0.7229014084507036
24257,1175000,1476541.0,25.663063829787237
8031,738000,800020.89,8.403914634146343
19743,980000,987787.715,0.794664795918364
13690,858000,873475.24,1.8036410256410247
6840,717500,745963.85,3.9670871080139345
12786,835000,897252.5,7.455389221556887
33281,1563800,1574599.5,0.6905934262693438
46354,533000,472332.28,-11.382311444652903
30897,508000,546190.17,7.5177500000000075
32003,1489000,1402638.2,-5.799986568166558
13699,858000,933102.96,8.753258741258737
47570,552500,560895.0,1.5194570135746606
53190,400000,400000.0,0.0
9945,773000,695992.7066666665,-9.962133678309632
40519,2500000,2564521.0,2.58084
38858,2165000,2073220.0,-4.239260969976906
12610,830000,835744.53,0.6921120481927745
23613,1145580,1399633.16,22.176815237696182
45593,6400000,5459319.92,-14.698126250000001
52560,625000,731465.98,17.034556799999997
12957,839900,834948.0,-0.5895939992856292
51936,618000,651971.88,5.497067961165049
448,448000,497142.0,10.96919642857143
38231,2030000,1890349.99,-6.879310837438424
44864,4225000,5901853.36,39.688836923076934
10472,782000,812784.46,3.9366317135549824
45187,4888000,4564828.0,-6.611538461538462
45426,5538000,5773084.88,4.244941856265798
14576,879000,856520.0,-2.5574516496018203
35356,1700000,1726776.48,1.5750870588235284
53055,632000,628643.0,-0.5311708860759493
46681,538000,647415.0,20.33736059479554
9470,761000,1043100.99,37.0697752956636
50541,599000,542353.26,-9.456884808013353
3305,660000,713715.99,8.138786363636362
1625,636100,827291.21,30.0567850966829
14247,870000,902346.0,3.7179310344827585
52098,620000,634911.0,2.405
35674,1730000,1543670.63,-10.770483815028909
19022,959900,949617.0,-1.0712574226481926
41124,2688000,2819813.16,4.903763392857148
36354,1798000,1861022.0,3.5051167964404897
22501,1090000,1046686.6,-3.9737064220183504
3769,668000,603732.0,-9.620958083832337
19769,980000,967579.1133333333,-1.2674374149659915
23914,1155000,969811.09,-16.033671861471866
39394,2260000,2342792.91,3.6634030973451392
25846,1250000,1191805.0,-4.6556
31357,1450000,1501350.0,3.5413793103448277
51010,602000,639910.0,6.29734219269103
41334,2757000,2143773.7,-22.242520856002894
44355,530000,517655.0,-2.329245283018868
13656,855800,788270.46,-7.8908086001402244
40522,2500000,2371139.96,-5.154401600000001
48906,575000,554776.43,-3.5171426086956434
49819,587000,574424.21,-2.142383304940381
39626,2300000,2035042.33,-11.519898695652172
37665,1950000,2089655.0,7.161794871794871
30903,508500,570288.0,12.151032448377581
41984,2999990,3142233.86,4.741477804926012
4403,678000,674588.0,-0.5032448377581121
51702,615000,615470.08,0.07643577235771676
50151,591000,526035.0,-10.99238578680203
48752,570000,552645.99,-3.0445631578947383
40860,2600000,2587192.88,-0.49258153846154273
54496,438000,434620.0,-0.771689497716895
10280,779900,771345.0,-1.0969355045518656
44087,527800,508328.97,-3.689092459264878
1585,635000,656016.86,3.3097417322834626
15042,889900,938481.98,5.459262838521179
485,449000,420791.0,-6.282628062360803
30198,499000,494373.0,-0.9272545090180362
19808,982000,968368.71,-1.3881150712830996
14731,880000,844894.0,-3.989318181818182
19538,975000,1032037.97,5.850048205128202
10274,779900,780034.0,0.017181689960251316
40188,2431000,2484711.1,2.209424105306462
27823,1335000,1253687.0,-6.090861423220974
2365,648000,701886.88,8.315876543209876
16087,481900,483070.0,0.24278896036522102
12215,821000,1041885.0,26.90438489646772
14105,868000,878904.0,1.2562211981566822
14446,875000,841939.0,-3.7784
9460,760000,733208.68,-3.52517368421052
29330,1410000,1480140.0,4.974468085106383
40465,2499000,1757064.85,-29.689281712685073
24558,1190000,1211485.22,1.805480672268905
8105,739000,764024.0,3.3861975642760487
9656,767000,883695.0,15.214471968709256
23814,1150000,1084039.91,-5.735660000000007
535,449900,507691.0,12.845298955323406
2799,650000,661947.22,1.838033846153842
3069,655000,547068.0,-16.4781679389313
43534,520000,526455.0,1.2413461538461539
8148,739888,735670.76,-0.569983565080119
5244,690000,747341.97,8.310430434782605
44217,529000,498410.0,-5.782608695652174
45664,6980000,4583447.8,-34.334558739255016
8832,750000,764526.95,1.9369266666666602
14495,876950,940032.0,7.193340555333827
47683,555000,577314.88,4.0206990990991
41308,2750000,2733237.92,-0.6095301818181845
21854,1060000,1173441.52,10.702030188679247
36317,1790000,1844391.42,3.0386268156424543
34204,1620000,1584328.02,-2.201974074074073
